,"Ford, Kevin B.","Tyson, Jeremy T.","Hirani, Anil N.","Katz, Sheldon H.","Albin, Pierre","Dunfield, Nathan M.","Kostochka, Alexandr V.","Kedem, Rinat","Song, Renming","Dodd, Christopher","Duursma, Iwan Maynard","McCarthy, Randy","Rezk, Charles W.","Fernandes, Rui Loja","Mineyev, Igor","Dutta, Sankar Prasad","Yong, Alexander T. F.","Tolman, Susan","Erdoğan, Mehmet Burak","Junge, Marius","Hur, Vera Mikyoung","Stojanoska, Vesna","Ahlgren, Scott D.","Bradlow, Steven Benjamin","Rapti, Zoi","Sowers, Richard B.","Balogh, József","Kutzarova, Denka N.","Zaharescu, Alexandru","La Nave, Gabriele","Berwick-Evans, Daniel","DeVille, R. E. Lee","Boca, Florin-Petre","Thorner, Jesse","Zharnitsky, Vadim","Lerman, Eugene M.","Reznick, Bruce","Dey, Partha Sarathi","Hinkkanen, Aimo","Nikolaev, Igor G.","Pascaleff, James Thomas","Bronski, Jared C.","Feng, Runhuan","Haboush, William J.","Baryshnikov, Yuliy M.","Kirr, Eduard","Oikhberg, Timur","Leditzky, Felix","Kirkpatrick, Kay Lene","Tzirakis, Nikolaos","Kerman, Ely","Di Francesco, Philippe","Laugesen, Richard Snyder","Heller, Jeremiah Ben","Guzman, Rosemary K.","Jing, Xiaochen","Liu, Yuan","Quan, Zhiyu","Fadina, Tolulope","Rasmussen, Jacob","Rasmussen, Sarah Dean","Janda, Felix","Cooney, Daniel B","Hung, Pei-Ken","Young, Amanda","Wu, Xuan"
"Ford, Kevin B.",886.0,3.0,0.0,0.0,0.0,4.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0,48.0,195.0,0.0,0.0,1.0,20.0,47.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"Tyson, Jeremy T.",3.0,842.0,1.0,0.0,7.0,2.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,4.0,11.0,0.0,1.0,2.0,9.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,8.0,11.0,1.0,26.0,5.0,0.0,3.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
"Hirani, Anil N.",0.0,1.0,213.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Katz, Sheldon H.",0.0,0.0,0.0,674.0,1.0,4.0,0.0,1.0,0.0,5.0,3.0,2.0,1.0,2.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,2.0
"Albin, Pierre",0.0,7.0,2.0,1.0,601.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,9.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,6.0,7.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0
"Dunfield, Nathan M.",4.0,2.0,3.0,4.0,8.0,682.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,6.0,2.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,69.0,24.0,2.0,0.0,1.0,0.0,0.0
"Kostochka, Alexandr V.",10.0,0.0,1.0,0.0,0.0,3.0,1330.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kedem, Rinat",0.0,0.0,0.0,1.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
"Song, Renming",3.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1301.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,7.0,0.0,0.0,0.0,2.0,19.0,2.0,1.0,4.0,2.0,0.0,9.0,3.0,0.0,2.0,0.0,1.0,10.0,2.0,0.0,0.0,4.0,18.0,0.0,9.0,5.0,5.0,2.0,6.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0
"Dodd, Christopher",0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,150.0,2.0,1.0,1.0,2.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
"Duursma, Iwan Maynard",2.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,4.0,2.0,421.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,8.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
"McCarthy, Randy",0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,125.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rezk, Charles W.",0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,22.0,291.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fernandes, Rui Loja",0.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,444.0,1.0,0.0,1.0,22.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,2.0,38.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mineyev, Igor",0.0,11.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,202.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dutta, Sankar Prasad",0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,140.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Yong, Alexander T. F.",1.0,1.0,2.0,4.0,0.0,2.0,4.0,4.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0,3.0,758.0,10.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,14.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0
"Tolman, Susan",0.0,2.0,1.0,8.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,1.0,0.0,10.0,366.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Erdoğan, Mehmet Burak",11.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,9.0,22.0,0.0,1.0,0.0,8.0,2.0,2.0,3.0,6.0,0.0,0.0,5.0,2.0,3.0,58.0,1.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,5.0,33.0,4.0,0.0,7.0,194.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Junge, Marius",6.0,12.0,0.0,0.0,4.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,9.0,1835.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,54.0,13.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,4.0,12.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,172.0,71.0,11.0,4.0,7.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0
"Hur, Vera Mikyoung",0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1.0,702.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,1.0,90.0,0.0,0.0,3.0,9.0,1.0,0.0,6.0,15.0,2.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Stojanoska, Vesna",0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,6.0,50.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,307.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Ahlgren, Scott D.",12.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,475.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,2.0,0.0,7.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bradlow, Steven Benjamin",0.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,294.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
"Rapti, Zoi",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,1.0,10.0,0.0,0.0,0.0,187.0,5.0,0.0,0.0,1.0,0.0,0.0,25.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,86.0,1.0,0.0,2.0,11.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sowers, Richard B.",0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,5.0,299.0,4.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Balogh, József",19.0,0.0,0.0,0.0,0.0,3.0,283.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1687.0,7.0,8.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Kutzarova, Denka N.",48.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,548.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Zaharescu, Alexandru",195.0,5.0,0.0,1.0,3.0,8.0,0.0,0.0,4.0,2.0,8.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,6.0,13.0,2.0,5.0,72.0,1.0,1.0,0.0,8.0,4.0,1867.0,1.0,0.0,2.0,197.0,88.0,2.0,0.0,15.0,0.0,2.0,0.0,2.0,6.0,3.0,2.0,5.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0
"La Nave, Gabriele",0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,3.0,9.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,208.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
